"","","51","2/20/2020","775.56","851.36971070467","885.46","751.00610440189","828","996.32286995516","252","128.1"
"","","52","2/21/2020","581.16","637.96743136975","1074.86","911.64640003774","733","882.01046337818","214","108.78333333333"
"","","53","2/22/2020","691.98","759.61990357086","910.6","772.32868640974","615","740.02242152467","229","116.40833333333"
"","","54","2/23/2020","27.6","30.297854473476","27.34","23.188519971933","0","0","0","0"
"","","55","2/24/2020","688.86","756.19492871734","854.22","724.5097853118","1020","1227.3542600897","332.5","169.02083333333"
"","","56","2/25/2020","581.28","638.09916117181","1128.86","957.44669551998","904.5","1088.3744394619","247","125.55833333333"
"","","57","2/26/2020","748.26","821.40118073634","1211.46","1027.5041845354","1074","1292.331838565","406","206.38333333333"
"","","58","2/27/2020","608.3","667.76032160201","988.6","838.48466877297","836.5","1006.5508221226","290","147.41666666667"
"","","59","2/28/2020","690.6","758.10501084719","1244.08","1055.1709556212","890.5","1071.5284005979","330.5","168.00416666667"
"","","60","2/29/2020","552.56","606.57182854579","970.1","822.7938268022","1018","1224.9476831091","171","86.925"
"","","61","3/1/2020","55.36","60.77134868303","27.64","23.442966057945","28","33.692077727952","0","0"
"","","62","3/2/2020","664.4","729.3440040644","992.88","842.11476626675","1351","1625.6427503737","382","194.18333333333"
"","","63","3/3/2020","743.7","816.39544825812","1024.78","869.17086674607","918","1104.6188340807","311","158.09166666667"
"","","64","3/4/2020","773.86","849.50353850884","1159.76","983.65464237926","909.5","1094.3908819133","308","156.56666666667"
"","","65","3/5/2020","635.7","697.83862640538","1411.42","1197.1009823989","833","1002.3393124066","254.5","129.37083333333"
"","","66","3/6/2020","776.24","852.116179583","1325.3","1124.0579926409","951.5","1144.9289985052","203","103.19166666667"
"","","67","3/7/2020","664.78","729.76114843758","1081.06","916.904952482","723","869.97757847534","309","157.075"
"","","68","3/8/2020","0","0","55.72","47.259119708709","27.5","33.09043348281","0","0"
"","","69","3/9/2020","691.72","759.33448899974","1163.6","986.91155228022","1163.5","1400.0261584454","158","80.316666666667"
"","","70","3/10/2020","854.48","938.0040105252","1060.28","899.28032025754","1073","1291.1285500747","228","115.9"
